"estimate","std.error","p.val","model","term","type.effect","add.infovar"
"-0.388233700768882","0.394867941488159","0.325509587167886","DML","DML Casegrowth","direct","FALSE"
"-0.770750607866174","0.662208128591344","0.244460520324399","DML","DML Casegrowth","total","FALSE"
"-0.126724414475111","0.0680075254468584","0.0629051326037828","Canton-Bootstrap","FE R","direct","FALSE"
"-0.127791362091099","0.0632656495300611","0.0438434762931596","Canton-Bootstrap","FE R","total","FALSE"
"-0.258870164087303","0.12875414397276","0.0448254124717511","Canton-Bootstrap","FE Casegrowth","direct","FALSE"
"-0.260564016047188","0.129104057899995","0.0440174582591199","Canton-Bootstrap","FE Casegrowth","total","FALSE"
"-0.18026769977001","0.0680075254468584","0.00824844144314306","Canton-Bootstrap","DFE R","direct","FALSE"
"-0.157345389472284","0.0632656495300611","0.0131556728611491","Canton-Bootstrap","DFE R","total","FALSE"
"-0.308083481241954","0.12875414397276","0.0170323933479212","Canton-Bootstrap","DFE Casegrowth","direct","FALSE"
"-0.270920554718491","0.129104057899995","0.0362884949681098","Canton-Bootstrap","DFE Casegrowth","total","FALSE"
