"estimate,""std.error"",""p.val"",""model"",""term"",""type.effect"",""add.infovar"""
"-0.273626652630585,""0.107675862695245"",""0.0113023803543924"",""Own"",""DFE Casegrowth"",""direct"",""FALSE"""
"-0.255097887651927,""0.11789742545821"",""0.0308859377723772"",""HC3"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.255097887651927,""0.124484166791458"",""0.040880387670477"",""Canton"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.255097887651927,""0.118424013098694"",""0.0316361038654311"",""Time"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.255097887651927,""0.129425052308072"",""0.0491898538422859"",""Canton-Time"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.255097887651927,""0.11093302987123"",""0.0218211011510698"",""NW"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.255097887651927,""0.0952000858728429"",""0.00757683067186815"",""CH"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.255097887651927,""0.10703215553596"",""0.0174700565740845"",""Own"",""DFE Casegrowth"",""total"",""FALSE"""
"-0.26707910151375,""0.204913152507144"",""0.192446065567306"",""DML"",""DML R"",""direct"",""TRUE"""
"-0.340263923555322,""0.242675729116385"",""0.16087519543466"",""DML"",""DML R"",""total"",""TRUE"""
"-0.26707910151375,""0.204913152507144"",""0.192446065567306"",""DML"",""DML R"",""direct"",""FALSE"""
"-0.340263923555322,""0.242675729116385"",""0.16087519543466"",""DML"",""DML R"",""total"",""FALSE"""
"-0.811914662620923,""0.644585836221908"",""0.207816862913576"",""DML"",""DML Casegrowth"",""direct"",""TRUE"""
"-0.919763719414602,""0.756991429894835"",""0.224356452054854"",""DML"",""DML Casegrowth"",""total"",""TRUE"""
"-0.919792422569886,""0.722989000491259"",""0.203299210112853"",""DML"",""DML Casegrowth"",""direct"",""FALSE"""
"-0.808157615975919,""0.658871638784253"",""0.219981151399903"",""DML"",""DML Casegrowth"",""total"",""FALSE"""
"-0.126012383227099,""0.0692246529469719"",""0.0692146355786002"",""Canton-Bootstrap"",""FE R"",""direct"",""FALSE"""
"-0.126447730463333,""0.0677017696662028"",""0.062297107651292"",""Canton-Bootstrap"",""FE R"",""total"",""FALSE"""
"-0.253993617270713,""0.139231953909249"",""0.0686210818327524"",""Canton-Bootstrap"",""FE Casegrowth"",""direct"",""FALSE"""
"-0.2546584302049,""0.143154253023658"",""0.0757694186744003"",""Canton-Bootstrap"",""FE Casegrowth"",""total"",""FALSE"""
"-0.187357785765599,""0.0692246529469719"",""0.00699639958739599"",""Canton-Bootstrap"",""DFE R"",""direct"",""FALSE"""
"-0.162902657959934,""0.0677017696662028"",""0.0164267940245172"",""Canton-Bootstrap"",""DFE R"",""total"",""FALSE"""
"-0.273626652630585,""0.139231953909249"",""0.0498539327133274"",""Canton-Bootstrap"",""DFE Casegrowth"",""direct"",""FALSE"""
"-0.255097887651927,""0.143154253023658"",""0.0752668501673306"",""Canton-Bootstrap"",""DFE Casegrowth"",""total"",""FALSE"""
