"estimate","std.error","p.val","model","term","type.effect","add.infovar"
"-0.669076097025187","0.42689930396012","0.117046326878549","DML","DML Casegrowth","total","TRUE"
"-0.592344651564196","0.347303877031806","0.0880916142611733","DML","DML Casegrowth","direct","FALSE"
"-0.700072756005009","0.437300307209863","0.109399731089842","DML","DML Casegrowth","total","FALSE"
"-0.114583375152678","0.0546873812194243","0.0365757804193514","Canton-Bootstrap","FE R","direct","FALSE"
"-0.115339456774267","0.0530501151150038","0.0300898370298754","Canton-Bootstrap","FE R","total","FALSE"
"-0.251609157510345","0.104417401079023","0.0162735784371782","Canton-Bootstrap","FE Casegrowth","direct","FALSE"
"-0.252819325055186","0.100197305604283","0.0118903380012185","Canton-Bootstrap","FE Casegrowth","total","FALSE"
"-0.132114193911675","0.0546873812194243","0.0160035981731326","Canton-Bootstrap","DFE R","direct","FALSE"
"-0.125339066893885","0.0530501151150038","0.0184681303597296","Canton-Bootstrap","DFE R","total","FALSE"
"-0.273156482166932","0.104417401079023","0.00912465058013058","Canton-Bootstrap","DFE Casegrowth","direct","FALSE"
"-0.277991936431424","0.100197305604283","0.00570469882730926","Canton-Bootstrap","DFE Casegrowth","total","FALSE"
